timestamp,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,finger_joint_pos,left_inner_knuckle_joint_pos,left_inner_finger_joint_pos,right_outer_knuckle_joint_pos,right_inner_knuckle_joint_pos,right_inner_finger_joint_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,finger_joint_vel,left_inner_knuckle_joint_vel,left_inner_finger_joint_vel,right_outer_knuckle_joint_vel,right_inner_knuckle_joint_vel,right_inner_finger_joint_vel,joint_1_eff,joint_2_eff,joint_3_eff,joint_4_eff,joint_5_eff,joint_6_eff,joint_7_eff,finger_joint_eff,left_inner_knuckle_joint_eff,left_inner_finger_joint_eff,right_outer_knuckle_joint_eff,right_inner_knuckle_joint_eff,right_inner_finger_joint_eff
1660320920175644874,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.080971,16.632727,1.455267,3.488466,-1.028823,-3.289479,-0.265604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920200742721,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.075710,16.445005,1.433000,3.577051,-0.987502,-3.240080,-0.218436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920225793361,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.082734,16.639336,1.468498,3.469145,-1.010029,-3.298687,-0.232562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920250685691,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.076060,16.480728,1.404469,3.565277,-1.008137,-3.282924,-0.247268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920275682210,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.102824,16.541700,1.447225,3.527620,-1.031320,-3.306775,-0.238500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920300734519,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.085902,16.509558,1.411413,3.532178,-0.994095,-3.264349,-0.248974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920325816869,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.115476,16.632071,1.423746,3.499665,-1.027638,-3.300217,-0.241259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920350807666,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.075623,16.445572,1.414839,3.553265,-0.993006,-3.264721,-0.254143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920375802278,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.072997,16.675932,1.460696,3.485039,-1.022957,-3.303904,-0.255579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920400694608,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.057914,16.495300,1.425436,3.595321,-1.022815,-3.272680,-0.232580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920425683736,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.075414,16.504797,1.452078,3.515804,-1.035692,-3.283563,-0.250941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1660320920450708150,-0.197970,1.231216,3.041597,-2.435076,-0.267675,2.099917,1.530121,0.003509,0.003509,-0.003509,0.003509,0.003509,-0.003509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.081477,16.537146,1.440546,3.541218,-1.002571,-3.295093,-0.238110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
